customer_id,segment,first_purchase_date,last_purchase_date,signup_channel,region,age_band
100000,Regular,2023-04-10,2023-10-21,Web,South,35-44
100001,Regular,2023-05-09,2024-11-18,Web,North,55+
100002,Bargain,2023-01-22,2024-10-02,Web,North,55+
100003,Regular,2023-01-20,2024-06-02,Web,West,45-54
100004,Value,2023-02-02,2024-06-07,App,North,18-24
100005,Bargain,2023-02-08,2024-12-30,Store,North,25-34
100006,Regular,2023-04-13,2024-12-22,Store,South,25-34
100007,Regular,2023-02-01,2024-05-09,Store,North,35-44
100008,Value,2023-01-06,2024-12-22,Store,North,35-44
100009,Regular,2023-03-07,2024-12-02,Web,South,45-54
100010,Regular,2023-01-22,2024-04-01,Web,West,18-24
100011,Bargain,2023-01-08,2024-11-29,App,East,45-54
100012,Regular,2023-02-19,2024-03-23,App,South,25-34
100013,Bargain,2023-04-13,2024-07-30,App,West,55+
100014,Regular,2023-02-06,2024-01-14,App,North,45-54
100015,Regular,2023-01-13,2024-10-17,Store,West,55+
100016,Regular,2023-03-06,2024-12-03,App,West,25-34
100017,Value,2023-02-01,2024-11-19,Web,South,55+
100018,Bargain,2023-01-18,2024-12-21,App,South,45-54
100019,Regular,2023-01-26,2024-11-22,App,North,35-44
100020,Regular,2023-02-22,2024-12-24,App,East,35-44
100021,Regular,2023-01-15,2024-12-30,Web,West,25-34
100022,Bargain,2023-01-20,2024-09-23,App,North,25-34
100023,Bargain,2023-03-12,2024-12-22,App,South,18-24
100024,Regular,2023-01-10,2024-04-21,Web,West,18-24
100025,Value,2023-02-03,2024-12-24,App,North,55+
100026,Regular,2023-01-21,2024-11-15,Web,North,25-34
100027,Value,2023-02-09,2023-12-24,App,West,35-44
100028,Value,2023-01-03,2024-12-23,App,North,35-44
100029,Regular,2023-03-12,2024-11-24,Web,South,35-44
100030,Regular,2023-02-09,2024-09-27,Web,West,35-44
100031,Bargain,2023-03-19,2024-12-04,App,South,25-34
100032,Regular,2023-02-05,2024-10-29,Web,South,45-54
100033,Regular,2023-02-01,2024-11-07,App,East,55+
100034,Regular,2023-01-25,2024-12-24,Web,South,18-24
100035,Value,2023-01-10,2024-09-18,Web,North,45-54
100036,Value,2023-02-05,2024-12-27,App,East,55+
100037,Regular,2023-12-12,2023-12-12,App,North,35-44
100038,Regular,2023-01-03,2024-12-29,Web,East,18-24
100039,Regular,2023-01-10,2024-11-27,Store,East,18-24
100040,Regular,2023-01-22,2024-05-23,Web,West,55+
100041,Bargain,2023-01-12,2023-08-13,App,West,25-34
100042,Regular,2023-06-24,2024-12-03,App,South,18-24
