transaction_id,customer_id,order_date,gross_value,items,channel,category,discount_pct,region,payment_method,net_value,customer_segment
1,100000,2023-04-10,30.45,1,Web,Home,0.0,South,UPI,30.45,Regular
2,100000,2023-06-05,50.57,2,Web,Sports,2.43,South,UPI,49.34,Regular
3,100000,2023-07-09,41.06,2,Web,Fashion,16.18,East,Card,34.42,Regular
4,100000,2023-08-04,54.55,4,App,Fashion,2.76,West,UPI,53.04,Regular
5,100000,2023-10-21,85.83,5,Web,Fashion,8.14,South,UPI,78.84,Regular
6,100001,2023-05-09,61.33,4,App,Fashion,0.0,West,UPI,61.33,Regular
7,100001,2023-07-07,67.18,4,Web,Grocery,8.72,North,UPI,61.32,Regular
8,100001,2023-07-16,21.24,1,App,Beauty,21.15,East,Wallet,16.75,Regular
9,100001,2023-08-09,43.09,5,App,Sports,15.32,South,UPI,36.48,Regular
10,100001,2023-08-22,37.76,3,Store,Grocery,16.56,South,Wallet,31.51,Regular
11,100001,2023-09-06,54.98,3,App,Sports,12.16,South,Card,48.3,Regular
12,100001,2023-12-12,64.64,6,Web,Grocery,12.77,East,Card,56.39,Regular
13,100001,2023-12-30,25.0,1,App,Home,0.0,North,Wallet,25.0,Regular
14,100001,2024-01-06,28.44,3,Web,Fashion,11.0,West,Card,25.31,Regular
15,100001,2024-03-18,45.19,2,Web,Home,0.28,East,Card,45.06,Regular
16,100001,2024-04-26,45.89,4,App,Home,13.69,East,Card,39.61,Regular
17,100001,2024-05-24,81.22,3,Store,Fashion,11.6,North,UPI,71.8,Regular
18,100001,2024-06-29,104.74,3,Store,Electronics,0.0,South,Card,104.74,Regular
19,100001,2024-09-16,33.3,3,App,Sports,11.65,South,UPI,29.42,Regular
20,100001,2024-10-11,58.06,6,App,Fashion,1.22,East,UPI,57.35,Regular
21,100001,2024-11-18,21.17,2,Web,Beauty,8.56,East,Card,19.36,Regular
22,100002,2023-01-22,82.95,2,Web,Electronics,18.86,West,Card,67.31,Bargain
23,100002,2023-08-14,57.23,4,Web,Sports,12.11,West,Wallet,50.3,Bargain
24,100002,2023-09-14,18.2,4,Web,Electronics,19.91,East,Wallet,14.58,Bargain
25,100002,2023-10-19,23.11,4,App,Grocery,24.11,North,COD,17.54,Bargain
26,100002,2024-01-17,56.29,4,Web,Electronics,12.65,East,Card,49.17,Bargain
27,100002,2024-06-19,48.31,2,App,Electronics,10.64,South,UPI,43.17,Bargain
28,100002,2024-10-02,21.12,2,App,Grocery,1.57,West,Card,20.79,Bargain
29,100003,2023-01-20,21.9,1,Web,Electronics,11.48,East,Wallet,19.38,Regular
30,100003,2023-03-31,52.84,3,Web,Sports,2.81,East,Card,51.35,Regular
31,100003,2023-05-27,24.74,4,Web,Sports,1.33,North,Card,24.41,Regular
